en|The Abbasid invasion of Asia Minor in 806 CE was an attack by the Abbasid
en|Soon after his accession in 802, the Byzantine emperor Nikephoros I ceased paying tribute to
en|army met no opposition and raided at will, capturing several towns and fortresses, including Herakleia
en|whose fall was celebrated by the Caliph's propaganda. Nikephoros was forced to seek peace and
en|and withdrew. Almost immediately Nikephoros violated the peace terms, but Harun's preoccupation with a rebellion
en|prevented reprisal. Harun's death, the Abbasid civil war, and Nikephoros' Bulgarian wars prevented the resumption
en|Harun assembled his army at Raqqa in northern Syria. Medieval historians record numbers to be
en|as high as 135,000 or even 300,000 men. While these are clearly exaggerated, it is
en|clear that the Abbasid force assembled for the invasion was far larger than anything seen
en|before. The Abbasid army set out from Raqqa on 11 June 806, crossed the coastal
en|region of Cilicia and the Taurus Mountains, and invaded the Byzantine province of Cappadocia. The
en|Abbasids met no opposition and raided at will, capturing several towns and fortresses. Celebrated in
en|Arab histories was the siege, fall, and sack of the city of Herakleia; its name
en|was later given to a victory monument erected by the Caliph near Raqqa. The Byzantine
en|losses forced Nikephoros to seek peace terms in which he offered a resumption of tribute
en|payments in exchange for the Abbasids' withdrawal. However, this time Harun exacted an additional
en|personal tax levied on the Emperor and his son and heir, Staurakios, as a token
en|of their submission to the Caliph. The deposition of Byzantine empress Irene of Athens in
en|October 802 and the accession of Nikephoros I in her place marked the start of
en|a more violent phase in the long history of the Arab–Byzantine wars. Following a series
en|of destructive annual raids into Byzantine Asia Minor by the Abbasid Caliphate, Irene apparently secured
en|a truce with Caliph Harun al-Rashid in 798 in exchange for the annual payment
en|of tribute, repeating the terms agreed for a three-year truce after Harun's first large-scale campaign
en|into Asia Minor in 782. Nikephoros, on the other hand, was more warlike. A Syriac
nl|Belle is een sculptuur uit 2007 op het Oudekerksplein in Amsterdam, gemaakt door de Nederlandse
nl|beeldhouwer Els Rijerse in opdracht van het Prostitutie Informatie Centrum Het bronzen beeld is een
nl|eerbetoon aan sekswerkers wereldwijd. Initiatiefneemster was ex-prostituee Mariska Majoor. Belle is Frans voor "mooie". De
nl|sculptuur toont een vrouw in een deurpost bovenaan een trapje. Ze draagt opgestoken haar en
nl|hoge hakken. De vrouw staat met haar handen in de zij met haar hoofd
nl|omhoog stoer en tegelijk uitdagend te kijken. Op de plaquette staat. Bloemen bij het beeld
nl|Na een moord in Amsterdam op een Hongaarse prostituee in februari 2009 werd een herdenking
nl|bij het beeld gehouden. Op 17 december, de Internationale Dag tegen Geweld tegen Sekswerkers, worden
nl|er jaarlijks bloemen gelegd. In 2019 zorgde de Britse kunstenaar en activist Jimini Hignett voor
nl|enige ophef rondom het beeld. Als onderdeel van een tentoonstelling in het Amsterdam Museum wilde
nl|zij een houten versie van het beeld toevoegen gecombineerd met een video van mensen die
nl|in het houten beeld hun naam kerven. Naar de mening van Hignett toont Belle een
